txn_id,credited_amount,value_date,narration,utr_number
BANKTXN-80001,2368.97,2026-08-05,RAZORPAY SETL setl_50001,UTR3890838637
BANKTXN-80002,2113.13,2026-08-05,RAZORPAY SETL setl_50002,UTR5594078161
BANKTXN-80003,1339.79,2026-08-05,RAZORPAY SETL setl_50003,UTR6475255341
BANKTXN-80004,8392.73,2026-08-05,RAZORPAY SETL setl_50004,UTR0564139537
BANKTXN-80005,3892.15,2026-08-05,RAZORPAY SETL setl_50005,UTR2871012269
BANKTXN-80006,6312.57,2026-08-05,RAZORPAY SETL setl_50006,UTR4627048281
BANKTXN-80007,2254.28,2026-08-05,RAZORPAY SETL setl_50007,UTR1543039117
BANKTXN-80008,968.2,2026-08-07,RAZORPAY SETL setl_50008,UTR1031051834
BANKTXN-80009,1912.81,2026-08-08,RAZORPAY SETL setl_50009,UTR6566701065
BANKTXN-80010,2610.58,2026-08-09,RAZORPAY SETL setl_50010,UTR0801326773
BANKTXN-80011,1442.52,2026-08-10,RAZORPAY SETL setl_50011,UTR4309805009
BANKTXN-80012,6809.58,2026-08-10,RAZORPAY SETL setl_50012,UTR9399091699
BANKTXN-80013,3495.27,2026-08-10,RAZORPAY SETL setl_50013,UTR0799118384
BANKTXN-80014,2461.27,2026-08-10,RAZORPAY SETL setl_50014,UTR2411824493
BANKTXN-80015,5558.46,2026-08-19,RAZORPAY SETL setl_50015,UTR4278680112
BANKTXN-80016,918.82,2026-08-10,RAZORPAY SETL setl_50016,UTR3158692322
BANKTXN-80017,8592.09,2026-08-11,RAZORPAY SETL setl_50017,UTR3754330365
BANKTXN-80018,1682.93,2026-08-20,RAZORPAY SETL setl_50018,UTR9655698169
BANKTXN-80019,8670.85,2026-08-11,RAZORPAY SETL setl_50019,UTR4846564823
BANKTXN-80020,4637.76,2026-08-12,RAZORPAY SETL setl_50020,UTR7738721489
BANKTXN-80021,1614.39,2026-08-12,RAZORPAY SETL setl_50021,UTR9367632016
BANKTXN-80022,7366.97,2026-08-13,RAZORPAY SETL setl_50022,UTR7143455812
BANKTXN-80023,4553.29,2026-08-14,RAZORPAY SETL setl_50023,UTR6909670546
BANKTXN-80024,9737.7,2026-08-13,RAZORPAY SETL setl_50024,UTR7298069901
BANKTXN-80025,5117.71,2026-08-13,RAZORPAY SETL setl_50025,UTR4170805310
BANKTXN-80026,3807.98,2026-08-13,RAZORPAY SETL setl_50026,UTR5299124190
BANKTXN-80027,1739.52,2026-08-13,RAZORPAY SETL setl_50027,UTR8651850671
BANKTXN-80028,7153.18,2026-08-13,RAZORPAY SETL setl_50028,UTR9453147379
BANKTXN-80029,3906.3,2026-08-13,RAZORPAY SETL setl_50029,UTR8083136783
BANKTXN-80030,5303.23,2026-08-13,RAZORPAY SETL setl_50030,UTR5685574443
BANKTXN-80031,5455.45,2026-08-15,RAZORPAY SETL setl_50031,UTR4352408240
BANKTXN-80032,1376.87,2026-08-15,RAZORPAY SETL setl_50032,UTR4711671902
BANKTXN-80033,5204.09,2026-08-24,RAZORPAY SETL setl_50033,UTR7496499091
BANKTXN-80034,3071.7,2026-08-16,RAZORPAY SETL setl_50034,UTR0344713493
BANKTXN-80035,1705.93,2026-08-17,RAZORPAY SETL setl_50035,UTR7464887719
BANKTXN-80036,1664.73,2026-08-18,RAZORPAY SETL setl_50036,UTR7874296717
BANKTXN-80037,5100.24,2026-08-17,RAZORPAY SETL setl_50037,UTR1545168087
BANKTXN-80038,7767.74,2026-08-17,RAZORPAY SETL setl_50038,UTR7109324808
BANKTXN-80039,3833.31,2026-08-17,RAZORPAY SETL setl_50039,UTR7378263982
BANKTXN-80040,2857.16,2026-08-17,RAZORPAY SETL setl_50040,UTR8755886753
BANKTXN-80041,3362.04,2026-08-19,RAZORPAY SETL setl_50041,UTR7459615865
BANKTXN-80042,1351.46,2026-08-19,RAZORPAY SETL setl_50042,UTR4005045562
BANKTXN-80043,3262.6,2026-08-20,RAZORPAY SETL setl_50043,UTR3747407482
BANKTXN-80044,2559.82,2026-08-19,RAZORPAY SETL setl_50044,UTR9594406409
BANKTXN-80045,8607.64,2026-08-19,RAZORPAY SETL setl_50045,UTR4709521456
BANKTXN-80046,852.28,2026-08-28,RAZORPAY SETL setl_50046,UTR7123685160
BANKTXN-80047,4784.29,2026-08-19,RAZORPAY SETL setl_50047,UTR9859317461
BANKTXN-80048,7545.22,2026-08-20,RAZORPAY SETL setl_50048,UTR6179640537
BANKTXN-80049,1855.88,2026-08-21,RAZORPAY SETL setl_50049,UTR2904228421
BANKTXN-80050,8554.83,2026-08-22,RAZORPAY SETL setl_50050,UTR7758917839
BANKTXN-80051,9425.5,2026-08-22,RAZORPAY SETL setl_50051,UTR5921249985
BANKTXN-80052,7445.12,2026-08-23,RAZORPAY SETL setl_50052,UTR3657661565
BANKTXN-80053,1607.85,2026-09-01,RAZORPAY SETL setl_50053,UTR9885165604
BANKTXN-80054,9717.08,2026-08-24,RAZORPAY SETL setl_50054,UTR4936899809
BANKTXN-80055,3828.64,2026-08-25,RAZORPAY SETL setl_50055,UTR0183667525
BANKTXN-80056,2846.27,2026-08-27,RAZORPAY SETL setl_50056,UTR6797643815
