payment_ref,settlement_id,gross_amount,razorpay_fee,gst_on_fee,net_amount,settlement_date,currency
pay_FL10433218BC,setl_50001,2426.22,48.52,8.73,2368.97,2026-08-05,INR
pay_NW94026542VG,setl_50002,2164.2,43.28,7.79,2113.13,2026-08-05,INR
pay_QO84959310XS,setl_50003,1365.6,27.31,4.92,1333.37,2026-08-05,INR
pay_OS92832764JO,setl_50004,8595.58,171.91,30.94,8392.73,2026-08-05,INR
pay_QV67242388LB,setl_50005,3986.22,79.72,14.35,3892.15,2026-08-05,INR
pay_AR16697848UH,setl_50006,6465.14,129.3,23.27,6312.57,2026-08-05,INR
pay_XH48932528AM,setl_50007,2300.23,46.0,8.28,2245.95,2026-08-05,INR
pay_VB57871331LJ,setl_50008,991.6,19.83,3.57,968.2,2026-08-07,INR
pay_YE73829973ZA,setl_50009,1959.04,39.18,7.05,1912.81,2026-08-08,INR
pay_LR13338726DP,setl_50010,2673.67,53.47,9.62,2610.58,2026-08-09,INR
pay_SB60260647SU,setl_50011,1477.39,29.55,5.32,1442.52,2026-08-10,INR
pay_EM78820812ER,setl_50012,6974.17,139.48,25.11,6809.58,2026-08-10,INR
pay_IQ85435346PT,setl_50013,3579.76,71.6,12.89,3495.27,2026-08-10,INR
pay_IT25135427TN,setl_50014,2520.77,50.42,9.08,2461.27,2026-08-10,INR
pay_OB53487401RC,setl_50015,5692.81,113.86,20.49,5558.46,2026-08-10,INR
pay_CT80598262XY,setl_50016,941.03,18.82,3.39,918.82,2026-08-10,INR
pay_YS60256342GY,setl_50017,8799.77,176.0,31.68,8592.09,2026-08-11,INR
pay_BH41458685QL,setl_50018,1723.6,34.47,6.2,1682.93,2026-08-11,INR
pay_XB34060883EQ,setl_50019,8880.43,177.61,31.97,8670.85,2026-08-11,INR
pay_AT66299468SN,setl_50020,4749.86,95.0,17.1,4637.76,2026-08-12,INR
pay_CP51343320EN,setl_50021,1653.41,33.07,5.95,1614.39,2026-08-12,INR
pay_OR68727743XX,setl_50022,7545.03,150.9,27.16,7366.97,2026-08-13,INR
pay_VI23623166DA,setl_50023,4663.35,93.27,16.79,4553.29,2026-08-14,INR
pay_BF68893734BY,setl_50024,9973.06,199.46,35.9,9737.7,2026-08-13,INR
pay_ND62720465UV,setl_50025,5241.41,104.83,18.87,5117.71,2026-08-13,INR
pay_EQ03309232HK,setl_50026,3900.02,78.0,14.04,3807.98,2026-08-13,INR
pay_GS49663193XT,setl_50027,1781.56,35.63,6.41,1739.52,2026-08-13,INR
pay_NZ65726284IX,setl_50028,7335.63,146.71,26.41,7162.51,2026-08-13,INR
pay_NW96507527ZQ,setl_50029,4000.71,80.01,14.4,3906.3,2026-08-13,INR
pay_SP77701436TQ,setl_50030,5431.41,108.63,19.55,5303.23,2026-08-13,INR
pay_VE13518233RU,setl_50031,5587.31,111.75,20.11,5455.45,2026-08-15,INR
pay_SE08427109EC,setl_50032,1410.15,28.2,5.08,1376.87,2026-08-15,INR
pay_MM29413186YN,setl_50033,5329.88,106.6,19.19,5204.09,2026-08-16,INR
pay_EK33412328AA,setl_50034,3145.95,62.92,11.33,3071.7,2026-08-16,INR
pay_DK61832421YT,setl_50035,1747.16,34.94,6.29,1705.93,2026-08-17,INR
pay_RK06594013LB,setl_50036,1704.97,34.1,6.14,1664.73,2026-08-18,INR
pay_SF56551256SQ,setl_50037,5223.51,104.47,18.8,5100.24,2026-08-17,INR
pay_WD60385977NR,setl_50038,7963.15,159.26,28.67,7775.22,2026-08-17,INR
pay_TS61317127GT,setl_50039,3925.96,78.52,14.13,3833.31,2026-08-17,INR
pay_UT14658404LL,setl_50040,2926.21,58.52,10.53,2857.16,2026-08-17,INR
pay_DA28951718UJ,setl_50041,3443.31,68.87,12.4,3362.04,2026-08-19,INR
pay_VF78091343BG,setl_50042,1384.12,27.68,4.98,1351.46,2026-08-19,INR
pay_NY38692221NR,setl_50043,3341.46,66.83,12.03,3262.6,2026-08-20,INR
pay_TM17594647YE,setl_50044,2621.69,52.43,9.44,2559.82,2026-08-19,INR
pay_OM09743953NQ,setl_50045,8815.69,176.31,31.74,8607.64,2026-08-19,INR
pay_KQ23285884EZ,setl_50046,872.88,17.46,3.14,852.28,2026-08-19,INR
pay_OX48175496GR,setl_50047,4899.93,98.0,17.64,4784.29,2026-08-19,INR
pay_II20047113YD,setl_50048,7727.59,154.55,27.82,7545.22,2026-08-20,INR
pay_EW90053293JN,setl_50049,1900.73,38.01,6.84,1855.88,2026-08-21,INR
pay_LQ02053950DI,setl_50050,8761.6,175.23,31.54,8554.83,2026-08-22,INR
pay_BR08470076GF,setl_50051,9653.32,193.07,34.75,9425.5,2026-08-22,INR
pay_GY69847896SH,setl_50052,7625.07,152.5,27.45,7445.12,2026-08-23,INR
pay_BG45271111VV,setl_50053,1646.71,32.93,5.93,1607.85,2026-08-24,INR
pay_QE94519832OG,setl_50054,9951.95,199.04,35.83,9717.08,2026-08-24,INR
pay_LJ40244550KQ,setl_50055,3921.18,78.42,14.12,3828.64,2026-08-25,INR
pay_WN45991022DR,setl_50056,2915.06,58.3,10.49,2846.27,2026-08-27,INR
