payment_id,order_id,invoice_no,entity_type,method,gross_amount,fee,tax,net_amount,currency,settled,settlement_id,settlement_utr,created_at,settled_at
pay_FL10433218BC,ORD-10001,INV-10001,payment,card,4716.63,111.31,20.04,4585.28,INR,true,setl_50001,0133890838637940,2026-08-03,2026-08-05
pay_GW54235116WM,ORD-10002,INV-10002,payment,card,743.5,17.55,3.16,722.79,INR,true,setl_50002,4078161849593103,2026-08-03,2026-08-05
pay_WN31647525QR,ORD-10003,INV-10003,payment,card,7841.54,185.06,33.31,7623.17,INR,true,setl_50003,1928327648350305,2026-08-03,2026-08-05
pay_JQ13953767IP,ORD-10004,INV-10004,payment,card,8389.87,198.0,35.64,8156.23,INR,true,setl_50004,8849696532871012,2026-08-03,2026-08-05
pay_JA91669784RU,ORD-10005,INV-10005,payment,card,2331.22,55.02,9.9,2266.3,INR,true,setl_50005,1845146270482814,2026-08-03,2026-08-05
pay_UF32528809BH,ORD-10006,INV-10006,payment,card,6584.94,155.4,27.97,6401.57,INR,true,setl_50006,5430391171822782,2026-08-04,2026-08-06
pay_CH96383465CH,ORD-10007,INV-10007,payment,card,5272.12,124.42,22.4,5125.3,INR,true,setl_50007,3315098393010310,2026-08-05,2026-08-07
pay_AD76311656UD,ORD-10009,INV-10009,payment,card,3444.54,81.29,14.63,3348.62,INR,true,setl_50008,1065133387262473,2026-08-05,2026-08-07
pay_AF81080132EN,ORD-10010,INV-10010,payment,card,8107.94,191.35,34.44,7882.15,INR,true,setl_50009,6026064746872343,2026-08-05,2026-08-07
pay_HK80500978DG,ORD-10011,INV-10011,payment,card,2345.53,55.35,9.96,2280.22,INR,true,setl_50010,1219136193990916,2026-08-05,2026-08-07
pay_IQ85435346PT,ORD-10012,INV-10012,payment,card,1493.2,35.24,6.34,1451.62,INR,true,setl_50011,7510799118384251,2026-08-07,2026-08-09
pay_QJ42784980TQ,ORD-10013,INV-10013,payment,card,2868.34,67.69,12.18,2788.47,INR,true,setl_50012,1241182449353487,2026-08-06,2026-08-08
pay_KV16400524CJ,ORD-10014,INV-10014,payment,card,2924.4,69.02,12.42,2842.96,INR,true,setl_50013,6801128059826204,2026-08-07,2026-08-09
pay_VJ53315869PK,ORD-10016,INV-10016,payment,card,9007.88,212.59,38.27,8757.02,INR,true,setl_50014,2602563421607337,2026-08-08,2026-08-10
pay_XR33036541WP,ORD-10017,INV-10017,payment,card,6981.08,164.75,29.65,6786.68,INR,true,setl_50015,8685014294019655,2026-08-08,2026-08-10
pay_AH81693406ZI,ORD-10018,INV-10018,payment,card,7630.09,180.07,32.41,7417.61,INR,true,setl_50016,3561595148465648,2026-08-08,2026-08-10
pay_AT66299468SN,ORD-10019,INV-10019,payment,card,1850.83,43.68,7.86,1799.29,INR,true,setl_50017,6995777387214895,2026-08-08,2026-08-10
pay_NX43320037ED,ORD-10020,INV-10020,payment,card,724.64,17.1,3.08,704.46,INR,true,setl_50018,6936763201632870,2026-08-08,2026-08-10
pay_WC17278895NU,ORD-10021,INV-10021,payment,card,2737.72,64.61,11.63,2661.48,INR,true,setl_50019,8687277434873471,2026-08-08,2026-08-10
pay_YS45581223JT,ORD-10022,INV-10022,payment,card,7290.0,172.04,30.97,7086.99,INR,true,setl_50020,3166587603669096,2026-08-08,2026-08-10
pay_FO54668893RB,ORD-10023,INV-10023,payment,card,7754.41,183.0,32.94,7538.47,INR,true,setl_50021,7065627298069901,2026-08-09,2026-08-11
pay_WO46417080PE,ORD-10025,INV-10025,payment,card,9551.01,225.4,40.57,9285.04,INR,true,setl_50022,0033092327193745,2026-08-09,2026-08-11
pay_KR91241904YZ,ORD-10026,INV-10026,payment,card,3780.19,89.21,16.06,3674.92,INR,true,setl_50023,3193149190586518,2026-08-10,2026-08-12
pay_LU67165726HP,ORD-10027,INV-10027,payment,card,8463.19,199.73,35.95,8227.51,INR,true,setl_50024,4987769453147379,2026-08-10,2026-08-12
pay_ZQ50752735VR,ORD-10028,INV-10028,payment,card,1781.54,42.04,7.57,1731.93,INR,true,setl_50025,9480831367837770,2026-08-11,2026-08-13
pay_HW36349578BV,ORD-10029,INV-10029,payment,card,4632.22,109.32,19.68,4503.22,INR,true,setl_50026,8557444313518233,2026-08-12,2026-08-14
pay_XL98941343TA,ORD-10031,INV-10031,payment,card,487.92,11.51,2.07,474.34,INR,true,setl_50027,8240084271094777,2026-08-12,2026-08-14
pay_KO04711671RD,ORD-10032,INV-10032,payment,card,1462.4,34.51,6.21,1421.68,INR,true,setl_50028,2294131869993867,2026-08-12,2026-08-14
pay_WN96499091ON,ORD-10033,INV-10033,payment,card,8214.43,193.86,34.89,7985.68,INR,true,setl_50029,4123281206797403,2026-08-13,2026-08-15
pay_IO71349361PJ,ORD-10034,INV-10034,payment,card,6698.58,158.09,28.46,6512.03,INR,true,setl_50030,4210249947174648,2026-08-13,2026-08-15
pay_BF71906594OR,ORD-10035,INV-10035,payment,card,2615.55,61.73,11.11,2542.71,INR,true,setl_50031,9904902787429671,2026-08-14,2026-08-16
pay_SQ65512567ZW,ORD-10036,INV-10036,payment,card,7214.61,170.26,30.65,7013.7,INR,true,setl_50032,8071545168087603,2026-08-14,2026-08-16
pay_SC97703482SF,ORD-10037,INV-10037,payment,card,2800.92,66.1,11.9,2722.92,INR,true,setl_50033,1093248086131712,2026-08-15,2026-08-17
pay_JY84677378MM,ORD-10038,INV-10038,payment,card,2478.56,58.49,10.53,2409.54,INR,true,setl_50034,8214658404499727,2026-08-15,2026-08-17
pay_SP55886753KY,ORD-10039,INV-10039,payment,card,2753.36,64.98,11.7,2676.68,INR,true,setl_50035,3605766270289517,2026-08-16,2026-08-18
pay_VN70262174SZ,ORD-10040,INV-10040,payment,card,1090.85,25.74,4.63,1060.48,INR,true,setl_50036,1586578091343161,2026-08-16,2026-08-18
pay_XB24005045JP,ORD-10041,INV-10041,payment,card,5286.31,124.76,22.46,5139.09,INR,true,setl_50037,8692221969379237,2026-08-15,2026-08-17
pay_WL40748217TO,ORD-10042,INV-10042,payment,card,2712.89,64.02,11.52,2637.35,INR,true,setl_50038,6474367136959440,2026-08-16,2026-08-18
pay_ZW09097439OO,ORD-10043,INV-10043,payment,card,2145.98,50.65,9.12,2086.21,INR,true,setl_50039,3942104709521456,2026-08-16,2026-08-18
pay_EZ28588424SV,ORD-10044,INV-10044,payment,card,2093.34,49.4,8.89,2035.05,INR,true,setl_50040,5171236851604817,2026-08-17,2026-08-19
pay_TF17461200HG,ORD-10047,INV-10047,payment,card,886.94,20.93,3.77,862.24,INR,true,setl_50041,3826758692617964,2026-08-18,2026-08-20
pay_PW37735158DZ,ORD-10048,INV-10048,payment,card,2710.97,63.98,11.52,2635.47,INR,true,setl_50042,4317139005329318,2026-08-18,2026-08-20
