sr_no,order_id,book_date,value_date,client_id,invoice_no,payment_ref,category,transaction_currency,base_currency,amount_transaction_ccy,amount_base_ccy,gst_amount,acc_no,statement_no,bank_ref_no,status
1,ORD-10001,2026-08-02,2026-08-02,CUST-35387,INV-10001,pay_HT57472004HD,SALES,INR,INR,1709.41,1709.41,260.76,XXXXXXXX4521,,,completed
2,ORD-10002,2026-08-02,2026-08-02,CUST-82957,INV-10002,pay_YK39750294RG,SALES,INR,INR,5508.64,5508.64,840.3,XXXXXXXX4521,,,completed
3,ORD-10003,2026-08-02,2026-08-02,CUST-82381,INV-10003,pay_OI88478067HF,SALES,INR,INR,7070.96,7070.96,1078.62,XXXXXXXX4521,,,completed
4,ORD-10004,2026-08-02,2026-08-02,CUST-92626,INV-10004,pay_LT20999483XJ,SALES,INR,INR,5505.53,5505.53,839.83,XXXXXXXX4521,,,completed
5,ORD-10005,2026-08-03,2026-08-03,CUST-29349,INV-10005,pay_NZ47120168UB,SALES,INR,INR,6060.79,6060.79,924.53,XXXXXXXX4521,,,completed
6,ORD-10006,2026-08-03,2026-08-03,CUST-83116,INV-10006,pay_XS59283191SM,SALES,INR,INR,6519.19,6519.19,994.45,XXXXXXXX4521,,,partially_refunded
7,ORD-10007,2026-08-03,2026-08-03,CUST-64163,INV-10007,pay_OD62661364JO,SALES,INR,INR,1927.48,1927.48,294.02,XXXXXXXX4521,,,completed
8,ORD-10008,2026-08-03,2026-08-03,CUST-52880,INV-10008,pay_OB83052661BT,SALES,INR,INR,6403.4,6403.4,976.79,XXXXXXXX4521,,,completed
9,ORD-10009,2026-08-03,2026-08-03,CUST-15245,INV-10009,pay_HW83550636WC,SALES,INR,INR,6945.77,6945.77,1059.52,XXXXXXXX4521,,,partially_refunded
10,ORD-10010,2026-08-03,2026-08-03,CUST-77940,INV-10010,pay_FF66087777UY,SALES,INR,INR,1403.98,1403.98,214.17,XXXXXXXX4521,,,completed
11,ORD-10011,2026-08-03,2026-08-03,CUST-77940,INV-10010,pay_FF66087777UY,SALES,INR,INR,1403.98,1403.98,214.17,XXXXXXXX4521,,,completed
12,ORD-10012,2026-08-03,2026-08-03,CUST-58900,INV-10012,pay_CM99241763MG,SALES,INR,INR,1763.8,1763.8,269.05,XXXXXXXX4521,,,completed
13,ORD-10013,2026-08-03,2026-08-03,CUST-25149,INV-10013,pay_OQ79771465FP,SALES,INR,INR,5793.63,5793.63,883.77,XXXXXXXX4521,,,completed
14,ORD-10014,2026-08-03,2026-08-03,CUST-29934,INV-10014,pay_QT86788050NS,SALES,INR,INR,1323.85,1323.85,201.94,XXXXXXXX4521,,,partially_refunded
15,ORD-10015,2026-08-03,2026-08-03,CUST-14766,INV-10015,pay_AO77443717IZ,SALES,INR,INR,321.48,321.48,49.04,XXXXXXXX4521,,,completed
16,ORD-10016,2026-08-04,2026-08-04,CUST-66917,INV-10016,pay_CC02108713ZP,SALES,INR,INR,4377.99,4377.99,667.83,XXXXXXXX4521,,,completed
17,ORD-10017,2026-08-04,2026-08-04,CUST-21791,INV-10017,pay_HE60804941FH,SALES,INR,INR,2987.64,2987.64,455.74,XXXXXXXX4521,,,completed
18,ORD-10018,2026-08-04,2026-08-04,CUST-65750,INV-10018,pay_JT28459833DN,SALES,INR,INR,1816.18,1816.18,277.04,XXXXXXXX4521,,,completed
19,ORD-10019,2026-08-04,2026-08-04,CUST-16876,INV-10019,pay_TP52153944ZC,SALES,INR,INR,955.77,955.77,145.8,XXXXXXXX4521,,,completed
20,ORD-10020,2026-08-05,2026-08-05,CUST-45418,INV-10020,pay_IW46972188NJ,SALES,INR,INR,3789.36,3789.36,578.04,XXXXXXXX4521,,,completed
21,ORD-10021,2026-08-05,2026-08-05,CUST-10180,INV-10021,pay_WL24456214HD,SALES,INR,INR,5075.85,5075.85,774.28,XXXXXXXX4521,,,completed
