payment_id,order_id,invoice_no,entity_type,method,gross_amount,fee,tax,net_amount,currency,settled,settlement_id,settlement_utr,created_at,settled_at
pay_HT57472004HD,ORD-10001,INV-10001,payment,card,1709.41,40.34,7.26,1661.81,INR,true,setl_50001,8566675767672026,2026-08-02,2026-08-04
pay_YK39750294RG,ORD-10002,INV-10002,payment,card,5508.64,130.0,23.4,5355.24,INR,true,setl_50002,9649469487948324,2026-08-02,2026-08-04
pay_OI88478067HF,ORD-10003,INV-10003,payment,card,7070.96,166.87,30.04,6874.05,INR,true,setl_50003,2749289324638975,2026-08-02,2026-08-04
pay_LT20999483XJ,ORD-10004,INV-10004,payment,card,5505.53,129.93,23.39,5352.21,INR,true,setl_50004,0951906020310029,2026-08-02,2026-08-04
pay_NZ47120168UB,ORD-10005,INV-10005,payment,card,6060.79,143.03,25.75,5892.01,INR,true,setl_50005,3101284555088030,2026-08-03,2026-08-05
pay_XS59283191SM,ORD-10006,INV-10006,payment,card,4723.03,111.46,20.06,4591.51,INR,true,setl_50006,2607859225836416,2026-08-04,2026-08-06
pay_OD62661364JO,ORD-10007,INV-10007,payment,card,1927.48,45.49,8.19,1873.8,INR,true,setl_50007,7275031801779364,2026-08-03,2026-08-05
pay_OB83052661BT,ORD-10008,INV-10008,payment,card,6403.4,151.12,27.2,6225.08,INR,true,setl_50008,9082764538567834,2026-08-03,2026-08-05
pay_HW83550636WC,ORD-10009,INV-10009,payment,card,3843.8,90.71,16.33,3736.76,INR,true,setl_50009,6753317880126612,2026-08-04,2026-08-06
pay_FF66087777UY,ORD-10010,INV-10010,payment,card,1403.98,33.13,5.96,1364.89,INR,true,setl_50010,8997898862975565,2026-08-03,2026-08-05
pay_CM99241763MG,ORD-10012,INV-10012,payment,card,1763.8,41.63,7.49,1714.68,INR,true,setl_50011,6758969392363085,2026-08-03,2026-08-05
pay_OQ79771465FP,ORD-10013,INV-10013,payment,card,5793.63,136.73,24.61,5632.29,INR,true,setl_50012,6950272382430383,2026-08-03,2026-08-05
pay_QT86788050NS,ORD-10014,INV-10014,payment,card,620.6,14.65,2.64,603.31,INR,true,setl_50013,8614487985371735,2026-08-04,2026-08-06
pay_AO77443717IZ,ORD-10015,INV-10015,payment,card,321.48,7.59,1.37,312.52,INR,true,setl_50014,4036567115065148,2026-08-03,2026-08-05
pay_CC02108713ZP,ORD-10016,INV-10016,payment,card,4377.99,103.32,18.6,4256.07,INR,true,setl_50015,6577424887324349,2026-08-04,2026-08-06
pay_HE60804941FH,ORD-10017,INV-10017,payment,card,2987.64,70.51,12.69,2904.44,INR,true,setl_50016,0785187230034305,2026-08-04,2026-08-06
pay_TP52153944ZC,ORD-10019,INV-10019,payment,card,955.77,22.56,4.06,929.15,INR,true,setl_50017,7034815767709721,2026-08-04,2026-08-06
pay_IW46972188NJ,ORD-10020,INV-10020,payment,card,3789.36,89.43,16.1,3683.83,INR,true,setl_50018,2420796788025229,2026-08-05,2026-08-07
pay_WL24456214HD,ORD-10021,INV-10021,payment,card,5075.85,119.79,21.56,4934.5,INR,true,setl_50019,2097474605539180,2026-08-05,2026-08-07
pay_SF27259085YF,ORD-10022,INV-10022,payment,card,1409.87,33.27,5.99,1370.61,INR,true,setl_50020,8838302690455767,2026-08-06,2026-08-08
pay_EY11007933EH,ORD-10023,INV-10023,payment,card,7548.03,178.13,32.06,7337.84,INR,true,setl_50021,4020201587433680,2026-08-07,2026-08-09
pay_ZO46728553TK,ORD-10024,INV-10024,payment,card,5760.34,135.94,24.47,5599.93,INR,true,setl_50022,9109762624003908,2026-08-07,2026-08-09
pay_OD91088046FZ,ORD-10025,INV-10025,payment,card,8915.39,210.4,37.87,8667.12,INR,true,setl_50023,0945458300196459,2026-08-07,2026-08-09
pay_BD65093195QC,ORD-10026,INV-10026,payment,card,4892.27,115.46,20.78,4756.03,INR,true,setl_50024,3857190850276855,2026-08-07,2026-08-09
pay_UG46975753CG,ORD-10027,INV-10027,payment,card,4910.72,115.89,20.86,4773.97,INR,true,setl_50025,9956285384680707,2026-08-09,2026-08-11
pay_AJ77498632RU,ORD-10028,INV-10028,payment,card,1862.75,43.96,7.91,1810.88,INR,true,setl_50026,0908750496620460,2026-08-08,2026-08-10
pay_XQ30766435KK,ORD-10031,INV-10031,payment,card,9714.91,229.27,41.27,9444.37,INR,true,setl_50027,4953910594433811,2026-08-09,2026-08-11
pay_UT70854481ES,ORD-10032,INV-10032,payment,card,4530.68,106.92,19.25,4404.51,INR,true,setl_50028,3130612563407785,2026-08-10,2026-08-12
pay_WO74334379TS,ORD-10033,INV-10033,payment,card,855.71,20.19,3.63,831.89,INR,true,setl_50029,5957074924995573,2026-08-09,2026-08-11
pay_IC92769191YH,ORD-10034,INV-10034,payment,card,1805.04,42.6,7.67,1754.77,INR,true,setl_50030,7316038644797278,2026-08-10,2026-08-12
